dp,vp,security_preference
130,0,6
100,60,5
15,150,2
100,25,6
90,25,4
25,200,3
145,75,8
80,75,4
130,120,6
140,90,6
175,100,6
260,20,10
200,150,10
100,13,5
250,45,10
130,110,5
150,120,8
100,75,5
225,70,10
130,170,5
50,75,2
150,30,7
140,110,7
225,70,9
200,190,9
90,100,4
150,170,7
250,100,10
100,125,6
0,211,1
65,75,2
104,75,5
225,20,10
150,75,6
150,100,8
90,50,5
15,20,0
20,115,0
50,20,3
65,75,3
200,80,9
125,100,5
130,35,6
175,125,7
145,10,8
50,50,3
102,175,4
115,200,6
150,50,6
210,30,10
200,100,9
210,50,9
180,120,7
80,160,4
145,80,8
106,125,4
225,145,10
65,75,4
50,130,2
200,200,10
50,125,3
203,110,10
145,100,8
100,125,6
75,100,3
130,59,5
200,145,10
252,110,10
180,100,8
0,40,1
150,50,8
125,110,5
25,90,1
200,115,9
145,170,7
140,60,7
100,75,5
260,200,9
250,70,10
15,125,1
104,45,4
125,55,4
187,50,9
10,175,1
150,110,7
125,100,5
63,110,2
150,105,6
65,60,3
150,120,6
200,75,9
80,125,5
100,175,6
50,60,3
50,160,3
50,15,2
15,0,2
100,50,5
200,35,10
130,50,5
20,150,0
225,60,10
325,100,9
0,125,1
200,125,10
75,90,3
115,150,5
175,80,8
80,67,6
25,150,4
